date,ticker,side,shares,price,cash_after
2024-05-03,TCS,SELL,13.769755742180541,3604.38134765625,97299.99840749204
2024-05-03,RELIANCE,SELL,35.396589490299654,1423.46435546875,147585.01028520416
2024-05-03,CIPLA,SELL,37.55712439931779,1397.8388671875,199978.82089391624
2024-05-03,WIPRO,SELL,226.17771544627738,214.36009216308594,248365.32987035988
2024-05-03,APOLLOHOSP,SELL,8.155983226476247,5976.30859375,297010.517171937
2024-05-03,HCLTECH,SELL,34.825355992278574,1254.349609375,340606.3225138264
2024-05-03,TATACONSUM,SELL,44.771243674724275,1078.8116455078125,388809.4620958666
2024-05-03,INFY,SELL,32.19101402471636,1333.425048828125,431647.91793470545
2024-05-03,ULTRACEMCO,SELL,5.1443886976159385,9696.962890625,481433.0943378464
2024-05-03,SBIN,TRIM,14.976245462470063,801.6401977539062,493414.64359124366
2024-05-03,SHRIRAMFIN,BUY,105.67341560443654,503.6905517578125,440081.4891772885
2024-05-03,BHARTIARTL,TRIM,2.8843256156209622,1259.7890625,443707.86375680985
2024-05-03,BPCL,TRIM,15.823127518725324,280.866943359375,448143.1688304587
2024-05-03,COALINDIA,TRIM,12.83449244905556,417.27545166015625,453487.97642670025
2024-05-03,EICHERMOT,TRIM,1.8358438073120762,4490.62109375,461715.56719479425
2024-05-03,GRASIM,BUY,21.611465036433916,2462.891845703125,408382.4127808391
2024-05-03,HINDALCO,TRIM,5.429625285765613,638.7274780273438,411843.5275445188
2024-05-03,M&M,BUY,24.64532001662534,2159.708251953125,358510.37313056365
2024-05-03,NTPC,TRIM,10.193557224559031,347.9088439941406,362049.7089833277
2024-05-03,ONGC,TRIM,17.764807058457716,257.7400207519531,366619.25331974926
2024-05-03,POWERGRID,TRIM,17.879185483424777,290.9032897949219,371809.9649679792
2024-05-03,TATASTEEL,BUY,333.72603858528214,159.49220275878906,318476.810554024
2024-05-03,ICICIBANK,BUY,47.37021164724791,1123.63232421875,265143.6561400689
2024-05-03,MARUTI,BUY,4.347608505367304,12242.75390625,211810.50172611375
2024-05-03,BAJAJ-AUTO,TRIM,0.8010741063216403,8808.939453125,218853.0017995672
2024-05-03,ADANIPORTS,TRIM,0.2920283788098142,1308.2943115234375,219234.29674823387
2024-05-03,SUNPHARMA,TRIM,1.0880951010351916,1482.8043212890625,220844.50200178675
2024-05-03,DIVISLAB,BUY,13.616279394867984,3909.048828125,167511.3475878316
2024-05-03,JSWSTEEL,BUY,61.52837494034473,865.07568359375,114178.19317387647
2024-05-03,LT,BUY,0.039379911877757176,3440.416748046875,114042.4388988989
2024-05-03,AXISBANK,BUY,46.70460177709727,1139.645751953125,60709.28448494375
2024-05-03,HDFCBANK,BUY,71.97002555562761,739.567626953125,7376.130070988613
2024-05-03,ADANIENT,BUY,1.5945522664623282,2990.59765625,2597.9284715965478
2024-05-03,HEROMOTOCO,BUY,0.6085917004951666,4260.23388671875,0.0
2024-08-02,HDFCBANK,SELL,71.97002555562761,818.51123046875,58790.45762605533
2024-08-02,AXISBANK,SELL,46.70460177709727,1159.8587646484375,112852.85786319542
2024-08-02,ADANIENT,SELL,17.830421612875043,3159.333740234375,169072.44596214744
2024-08-02,ICICIBANK,SELL,47.37021164724791,1177.2532958984375,224727.65027569834
2024-08-02,JSWSTEEL,SELL,61.52837494034473,897.1341552734375,279816.45853979693
2024-08-02,TATASTEEL,SELL,333.72603858528214,154.6143035888672,331312.07994704106
2024-08-02,LT,SELL,15.501867172811405,3631.828369140625,387499.60067796154
2024-08-02,HINDALCO,SELL,83.49907628629055,639.6652221679688,440804.2329510848
2024-08-02,HDFCLIFE,BUY,83.15508533980487,705.4500732421875,382025.14838557225
2024-08-02,SBILIFE,BUY,33.72978937761819,1739.167724609375,323246.0638200597
2024-08-02,SHRIRAMFIN,TRIM,5.251301937655601,585.3201293945312,326313.60916423873
2024-08-02,ADANIPORTS,TRIM,3.5707915936140555,1580.3115234375,331945.28634121444
2024-08-02,BHARTIARTL,TRIM,2.436224692500235,1473.2056884765625,335527.16829646204
